ID,Name,Manufacturer,Microarchitecture,Core Family,Core Count,No of Threads,Multithreading,Core Clock,Boost Clock,TDP,Socket,Integrated Graphics,Lithography,Class
C86,Core i7-8700K,Intel,Coffee Lake,Coffee Lake,6,12,YES,3.7,4.7,95,LGA 1151,Intel UHD Graphics 630,14,PRO
C87,Core i7-8700,Intel,Coffee Lake,Coffee Lake,6,12,YES,3.2,4.6,65,LGA 1151,Intel UHD Graphics 630,14,PRO
C88,Core i7-8086K,Intel,Coffee Lake,Coffee Lake,6,12,YES,4,5,95,LGA 1151,Intel UHD Graphics 630,14,PRO
C89,Core i5-8600K,Intel,Coffee Lake,Coffee Lake,6,6,NO,3.6,4.3,95,LGA 1151,Intel UHD Graphics 630,14,MID
C90,Core i5-8600,Intel,Coffee Lake,Coffee Lake,6,6,NO,3.1,4.3,65,LGA 1151,Intel UHD Graphics 630,14,MID
C91,Core i5-8500,Intel,Coffee Lake,Coffee Lake,6,6,NO,3,4.1,65,LGA 1151,Intel UHD Graphics 630,14,MID
C92,Core i5-8400,Intel,Coffee Lake,Coffee Lake,6,6,NO,2.8,4,65,LGA 1151,Intel UHD Graphics 630,14,MID
C93,Core i3-8350K,Intel,Coffee Lake,Coffee Lake,4,4,NO,4,4,91,LGA 1151,Intel UHD Graphics 630,14,ENTRY
C94,Core i3-8300,Intel,Coffee Lake,Coffee Lake,4,4,NO,3.7,3.7,62,LGA 1151,Intel UHD Graphics 630,14,ENTRY
C95,Core i3-8100,Intel,Coffee Lake,Coffee Lake,4,4,NO,3.6,3.6,65,LGA 1151,Intel UHD Graphics 630,14,ENTRY
C96,Core i9-7980XE,Intel,Skylake,Skylake-X,18,36,YES,2.6,4.4,165,LGA 2066,No,14,PRO
C97,Core i9-7960X,Intel,Skylake,Skylake-X,16,32,YES,2.8,4.4,165,LGA 2066,No,14,PRO
C98,Core i9-7940X,Intel,Skylake,Skylake-X,14,28,YES,3.1,4.4,165,LGA 2066,No,14,PRO
C99,Core i9-7920X,Intel,Skylake,Skylake-X,12,24,YES,2.9,4.4,140,LGA 2066,No,14,PRO
C100,Core i9-7900X,Intel,Skylake,Skylake-X,10,20,YES,3.3,4.5,140,LGA 2066,No,14,PRO
C101,Core i7-7820X,Intel,Skylake,Skylake-X,8,16,YES,3.6,4.5,140,LGA 2066,No,14,PRO
C102,Core i7-7800X,Intel,Skylake,Skylake-X,6,12,YES,3.5,4,140,LGA 2066,No,14,PRO
C103,Core i7-7740X,Intel,Kaby Lake,Kaby Lake-X,4,8,YES,4.3,4.5,112,LGA 2066,No,14,PRO
C104,Core i7-7700K,Intel,Kaby Lake,Kaby Lake-S,4,8,YES,4.2,4.5,91,LGA 1151,Intel HD Graphics 630,14,PRO
C105,Core i7-7700,Intel,Kaby Lake,Kaby Lake-S,4,8,YES,3.6,4.2,65,LGA 1151,Intel HD Graphics 630,14,PRO
C106,Core i5-7640X,Intel,Kaby Lake,Kaby Lake-X,4,4,NO,4,4.2,112,LGA 2066,No,14,MID
C107,Core i5-7600K,Intel,Kaby Lake,Kaby Lake-S,4,4,NO,3.8,4.2,91,LGA 1151,Intel HD Graphics 630,14,MID
C108,Core i5-7600,Intel,Kaby Lake,Kaby Lake-S,4,4,NO,3.5,4.1,65,LGA 1151,Intel HD Graphics 630,14,MID
C109,Core i5-7500,Intel,Kaby Lake,Kaby Lake-S,4,4,NO,3.4,3.8,65,LGA 1151,Intel HD Graphics 630,14,MID
C110,Core i5-7400,Intel,Kaby Lake,Kaby Lake-S,4,4,NO,3,3.5,65,LGA 1151,Intel HD Graphics 630,14,MID
C111,Core i3-7350K,Intel,Kaby Lake,Kaby Lake-S,2,4,YES,4.2,4.2,60,LGA 1151,Intel HD Graphics 630,14,ENTRY
C112,Core i3-7320,Intel,Kaby Lake,Kaby Lake-S,2,4,YES,4.1,4.1,51,LGA 1151,Intel HD Graphics 630,14,ENTRY
C113,Core i3-7300,Intel,Kaby Lake,Kaby Lake-S,2,4,YES,4,4,51,LGA 1151,Intel HD Graphics 630,14,ENTRY
C114,Core i3-7100,Intel,Kaby Lake,Kaby Lake-S,2,4,YES,3.9,3.9,51,LGA 1151,Intel HD Graphics 630,14,ENTRY
