ID,Name,Manufacturer,Socket,Form Factor,Chipset,Memory Max,Memory Type,Memory Slots,PCI-E x16 Slots,PCI-E x8 Slots,PCI-E x4 Slots,PCI-E x1 Slots,PCI Slots,M.1 Slot1,M.2 Slot2,M.2 Slot3,M.2 Slot4,M.2 Slot5,mSATA Slots,Onboard Ethernet,SATA 6 Gb/s,Onboard Video,USB 2.0,USB 3.2 Gen 1,USB 3.2 Gen 2,USB 3.2 Gen 2x2,Supports ECC,Wireless Networking,RAID Support,Class
M301,MSI TRX40 PRO 10G ATX sTRX4,MSI,sTRX4,3,2,256,DDR4,8,4,0,0,1,0,2242/2260/2280/22110 M-key,2242/2260/2280 M-key,None,None,None,0,2 x 1000 Mbit/s,8,No,2,2,1,0,Yes,1,Yes,
M302,MSI TRX40 PRO WIFI ATX sTRX4,MSI,sTRX4,3,2,256,DDR4,8,4,0,0,1,0,2242/2260/2280/22110 M-key,2242/2260/2280 M-key,2230 E-key,None,None,0,2 x 1000 Mbit/s,8,No,2,2,1,0,Yes,3,Yes,
M303,ASRock B560 Pro4 ATX LGA1200,ASRock,LGA1200,3,4,128,DDR4,4,2,0,0,2,0,2242/2260/2280 M-key,2242/2260/2280 M-key,2280/22110 M-key,2230 E-key,None,0,1 x 1000 Mbit/s,6,Depends on CPU,1,2,1,0,No,1,No,
M304,ASRock B560M PRO4 Micro ATX LGA1200,ASRock,LGA1200,2,4,128,DDR4,4,2,0,0,1,0,2242/2260/2280 M-key,2280 M-key,2230 E-key,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,1,1,0,No,1,No,
M305,ASRock B560 Steel Legend ATX LGA1200,ASRock,LGA1200,3,4,128,DDR4,4,2,0,0,2,0,2260/2280 M-key,2260/2280 M-key,2260/2280/22110 M-key,None,None,0,1 x 2.5 Gbit/s,6,Depends on CPU,1,1,0,1,No,1,No,
M306,ASRock B560M-HDV Micro ATX LGA1200,ASRock,LGA1200,2,4,64,DDR4,2,1,0,0,2,0,2260/2280 M-key,2260/2280 M-key,None,None,None,0,1 x 1000 Mbit/s,4,Depends on CPU,2,1,0,0,No,1,No,
M307,ASRock B560M Steel Legend Micro ATX LGA1200,ASRock,LGA1200,3,4,128,DDR4,4,1,0,0,2,0,2242/2260/2280 M-key,2280 M-key,2230 E-key,None,None,0,1 x 2.5 Gbit/s,6,Depends on CPU,2,1,0,1,No,1,No,
M308,Asus PRIME B560-PLUS ATX LGA1200,Asus,LGA1200,3,4,128,DDR4,4,2,0,0,2,0,None,None,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,1,0,0,No,1,No,
M309,Asus PRIME B560M-A Micro ATX LGA1200,Asus,LGA1200,2,4,128,DDR4,4,2,0,0,1,0,2242/2260/2280 M-key,2242/2260/2280 M-key,2230 E-key,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,2,0,0,No,1,No,
M310,Asus TUF GAMING B560M-PLUS WIFI Micro ATX LGA1200,Asus,LGA1200,2,4,128,DDR4,4,2,0,0,1,0,2242/2260/2280 M-key,2242/2260/2280 M-key,None,None,None,0,1 x 2.5 Gbit/s,6,Depends on CPU,2,1,1,0,No,3,No,
M311,Gigabyte B560 AORUS PRO AX ATX LGA1200,Gigabyte,LGA1200,3,4,128,DDR4,4,3,0,0,0,0,2260/2280/22110 M-key,2260/2280/22110 M-key,2260/2280 M-key,None,None,0,1 x 2.5 Gbit/s,6,Depends on CPU,2,1,1,0,No,3,No,
M312,Gigabyte B560M AORUS ELITE Micro ATX LGA1200,Gigabyte,LGA1200,2,4,128,DDR4,4,2,0,0,1,0,2260/2280 M-key,2260/2280/22110 M-key,None,None,None,0,1 x 2.5 Gbit/s,6,Depends on CPU,2,1,1,0,No,1,No,
M313,Gigabyte B560M AORUS PRO AX Micro ATX LGA1200,Gigabyte,LGA1200,2,4,128,DDR4,4,2,0,0,1,0,2260/2280 M-key,2260/2280/22110 M-key,None,None,None,0,1 x 2.5 Gbit/s,6,Depends on CPU,2,1,1,0,No,3,No,
M314,Gigabyte B560M DS3H AC Micro ATX LGA1200,Gigabyte,LGA1200,2,4,128,DDR4,4,1,0,0,2,0,2260/2280/22110 M-key,2260/2280 M-key,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,1,0,0,No,2,No,
M315,ASRock Fatal1ty H270 Performance ATX LGA1151,ASRock,LGA 1151,3,1,64,DDR4,4,2,0,0,4,0,2230 E-key,2230/2242/2260/2280 M-key,2230/2242/2260/2280 M-key,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,3,2,0,0,No,1,Yes,
M316,ASRock Fatal1ty H270M Performance Micro ATX LGA1151,ASRock,LGA 1151,2,1,64,DDR4,4,2,0,0,2,0,2230/2242/2260/2280 M-key,2230/2242/2260/2280 M-key,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,2,0,0,No,1,Yes,
M317,ASRock H270 Pro4 ATX LGA1151,ASRock,LGA 1151,3,1,64,DDR4,4,2,0,0,3,1,2230 E-key,2230/2242/2260/2280 M-key,2230/2242/2260/2280 M-key,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,3,1,0,0,No,1,Yes,
M318,ASRock H270M Pro4 Micro ATX LGA1151,ASRock,LGA 1151,3,1,64,DDR4,4,2,0,0,2,0,2230/2242/2260/2280 M-key,2230/2242/2260/2280 M-key,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,2,0,0,No,1,Yes,
M319,Asus PRIME H270-PRO ATX LGA1151,Asus,LGA 1151,3,1,64,DDR4,4,2,0,0,2,2,2242/2260/2280 M-key,2242/2260/2280/22110 M-key,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,2,0,0,No,1,Yes,
M320,Asus PRIME H270M-PLUS Micro ATX LGA1151,Asus,LGA 1151,2,1,64,DDR4,4,2,0,0,2,0,2242/2260/2280 M-key,2242/2260/2280 M-key,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,2,0,0,No,1,Yes,
M321,Asus STRIX H270F GAMING ATX LGA1151 Motherboard,Asus,LGA 1151,2,1,64,DDR4,4,2,0,0,2,0,2242/2260/2280 M-key,2242/2260/2280 M-key,None,None,None,0,1 x 1000 Mbit/s,4,Depends on CPU,2,2,0,0,No,1,Yes,
M322,Asus ROG STRIX H270I GAMING Mini ITX LGA1151,Asus,LGA 1151,1,1,32,DDR4,2,1,0,0,0,0,2242/2260/2280 M-key,2242/2260/2280 M-key,None,None,None,0,1 x 1000 Mbit/s,4,Depends on CPU,0,1,0,0,No,2,Yes,
M323,Gigabyte GA-H270-Gaming 3 ATX LGA1151,Gigabyte,LGA 1151,3,1,64,DDR4,4,2,0,0,2,2,2242/2260/2280/22110 M-key,2242/2260/2280 M-key,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,2,0,0,No,1,Yes,
M324,Gigabyte GA-H270-HD3 ATX LGA1151,Gigabyte,LGA 1151,3,1,64,DDR4,4,3,0,0,2,1,2242/2260/2280/22110 M-key,None,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,2,0,0,No,1,Yes,
M325,Gigabyte GA-H270M-DS3H Micro ATX LGA1151,Gigabyte,LGA 1151,2,1,64,DDR4,4,2,0,0,2,0,2242/2260/2280/22110 M-key,None,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,2,0,0,No,1,Yes,
