,ID,Name,Manufacturer,Microarchitecture,Core Family,Core Count,No of Threads,Multithreading,Core Clock,Boost Clock,TDP,Socket,Integrated Graphics,Lithography,Class
79,C80,Core i3-9350K,Intel,3,Coffee Lake Refresh,4,4,NO,4.0,4.6,91,LGA 1151,Intel UHD Graphics 630,14,ENTRY
80,C81,Core i3-9350KF,Intel,3,Coffee Lake Refresh,4,4,NO,4.0,4.6,91,LGA 1151,No,14,ENTRY
81,C82,Core i3-9320,Intel,3,Coffee Lake Refresh,4,4,NO,3.7,4.4,62,LGA 1151,No,14,ENTRY
82,C83,Core i3-9300,Intel,3,Coffee Lake Refresh,4,4,NO,3.7,4.3,62,LGA 1151,No,14,ENTRY
83,C84,Core i3-9100,Intel,3,Coffee Lake Refresh,4,4,NO,3.6,4.2,65,LGA 1151,Intel UHD Graphics 630,14,ENTRY
84,C85,Core i3-9100F,Intel,3,Coffee Lake Refresh,4,4,NO,3.6,4.2,65,LGA 1151,No,14,ENTRY
85,C86,Core i7-8700K,Intel,2,Coffee Lake,6,12,YES,3.7,4.7,95,LGA 1151,Intel UHD Graphics 630,14,PRO
86,C87,Core i7-8700,Intel,2,Coffee Lake,6,12,YES,3.2,4.6,65,LGA 1151,Intel UHD Graphics 630,14,PRO
87,C88,Core i7-8086K,Intel,2,Coffee Lake,6,12,YES,4.0,5.0,95,LGA 1151,Intel UHD Graphics 630,14,PRO
88,C89,Core i5-8600K,Intel,2,Coffee Lake,6,6,NO,3.6,4.3,95,LGA 1151,Intel UHD Graphics 630,14,MID
89,C90,Core i5-8600,Intel,2,Coffee Lake,6,6,NO,3.1,4.3,65,LGA 1151,Intel UHD Graphics 630,14,MID
90,C91,Core i5-8500,Intel,2,Coffee Lake,6,6,NO,3.0,4.1,65,LGA 1151,Intel UHD Graphics 630,14,MID
91,C92,Core i5-8400,Intel,2,Coffee Lake,6,6,NO,2.8,4.0,65,LGA 1151,Intel UHD Graphics 630,14,MID
92,C93,Core i3-8350K,Intel,2,Coffee Lake,4,4,NO,4.0,4.0,91,LGA 1151,Intel UHD Graphics 630,14,ENTRY
93,C94,Core i3-8300,Intel,2,Coffee Lake,4,4,NO,3.7,3.7,62,LGA 1151,Intel UHD Graphics 630,14,ENTRY
94,C95,Core i3-8100,Intel,2,Coffee Lake,4,4,NO,3.6,3.6,65,LGA 1151,Intel UHD Graphics 630,14,ENTRY
95,C96,Core i9-7980XE,Intel,1,Skylake-X,18,36,YES,2.6,4.4,165,LGA 2066,No,14,PRO
96,C97,Core i9-7960X,Intel,1,Skylake-X,16,32,YES,2.8,4.4,165,LGA 2066,No,14,PRO
97,C98,Core i9-7940X,Intel,1,Skylake-X,14,28,YES,3.1,4.4,165,LGA 2066,No,14,PRO
98,C99,Core i9-7920X,Intel,1,Skylake-X,12,24,YES,2.9,4.4,140,LGA 2066,No,14,PRO
99,C100,Core i9-7900X,Intel,1,Skylake-X,10,20,YES,3.3,4.5,140,LGA 2066,No,14,PRO
100,C101,Core i7-7820X,Intel,1,Skylake-X,8,16,YES,3.6,4.5,140,LGA 2066,No,14,PRO
101,C102,Core i7-7800X,Intel,1,Skylake-X,6,12,YES,3.5,4.0,140,LGA 2066,No,14,PRO
102,C103,Core i7-7740X,Intel,1,Kaby Lake-X,4,8,YES,4.3,4.5,112,LGA 2066,No,14,PRO
103,C104,Core i7-7700K,Intel,1,Kaby Lake-S,4,8,YES,4.2,4.5,91,LGA 1151,Intel HD Graphics 630,14,PRO
104,C105,Core i7-7700,Intel,1,Kaby Lake-S,4,8,YES,3.6,4.2,65,LGA 1151,Intel HD Graphics 630,14,PRO
105,C106,Core i5-7640X,Intel,1,Kaby Lake-X,4,4,NO,4.0,4.2,112,LGA 2066,No,14,MID
106,C107,Core i5-7600K,Intel,1,Kaby Lake-S,4,4,NO,3.8,4.2,91,LGA 1151,Intel HD Graphics 630,14,MID
107,C108,Core i5-7600,Intel,1,Kaby Lake-S,4,4,NO,3.5,4.1,65,LGA 1151,Intel HD Graphics 630,14,MID
108,C109,Core i5-7500,Intel,1,Kaby Lake-S,4,4,NO,3.4,3.8,65,LGA 1151,Intel HD Graphics 630,14,MID
109,C110,Core i5-7400,Intel,1,Kaby Lake-S,4,4,NO,3.0,3.5,65,LGA 1151,Intel HD Graphics 630,14,MID
110,C111,Core i3-7350K,Intel,1,Kaby Lake-S,2,4,YES,4.2,4.2,60,LGA 1151,Intel HD Graphics 630,14,ENTRY
111,C112,Core i3-7320,Intel,1,Kaby Lake-S,2,4,YES,4.1,4.1,51,LGA 1151,Intel HD Graphics 630,14,ENTRY
112,C113,Core i3-7300,Intel,1,Kaby Lake-S,2,4,YES,4.0,4.0,51,LGA 1151,Intel HD Graphics 630,14,ENTRY
113,C114,Core i3-7100,Intel,1,Kaby Lake-S,2,4,YES,3.9,3.9,51,LGA 1151,Intel HD Graphics 630,14,ENTRY
